ResponseId,country,hate_definition,translated_hate_definition_cleaned
R_3nMiRP86CzietAP,tur,"Birilerine veya birşeylere kötü sözler, küfürler vb. gibi şeyler çok iğrenç şeyler.","Bad words, curses, etc. to someone or something.Things like very disgusting things."
R_2ttF2OvLXAsbGor,tur,Bir kaç yıl sonra dinler tamamen bitecek ve bu asalak dincilerden tamamen kurtulacağız çünkü hepsi bok çukurlarına dönmüş olacaklar,"After a few years, the religions will end completely and we will get rid of these parasitic religiouss because they will all return to shit pits"
R_3lRctDAbDZBrOvf,tur,Irkçı cinsiyetçi evrensel ilkeleri etik değerleri aşağılayan söylemler,Racist sexist Universal Principles Discourses that humiliate ethical values
R_8oHe8a6PbKFxUaJ,tur,"karşısındaki insana düşmanca davranış veya düşmanlık ifade eden sözlerin söylenmesi, aşağılama, kötüleme gibi","Saying, humiliation, disgraceful words that express hostile behavior or hostility to the other person"
R_3lFTpWB1rla9AUf,tur,Başkasının tercihlerini saygıyla karşılayamayıp kendisine direkt olarak bir etkisi olmadığı halde o tercihleri zorla değiştirme konusunda o kişiye zarar verici aksiyon almak üzerine söylemler. Sonunda yapabileceği hiç birşey olmasa da bunun sözle dahi olsa söylenmesi.,"He can not meet someone else's preferences with respect and he does not have any direct impact on him.Even though there is nothing he can finally do, it is to say even with a word."
R_2ceClEjcXtsraE5,tur,"Kişileri, duyguları, düşünceleri, eylemleri, ülkeleri veya kurumları kışkırtıcı aşağılayıcı yada hakaret içerikli söylemleri","People, emotions, thoughts, actions, countries or institutions provocatively humiliating or insulting discourses"
R_2EGdmiQWOGSN0xW,tur,Irkçı soylemler,Racist
R_6PSaPB9G9LEqIbn,tur,"Aslında genel geçer etik ve insan hakları kapsamında ne nefret söylemi olarak kabul ediliyorsa onlar nefret soylemidir, bu konuda insan hakları yasalarının ve etik degerlerin yeterince geliştiğini düşünüyorum. Bunlar dikkate alınsa yeterli, insanların nefret söylemi konusundaki fikirleri bence çok önemli değil.","In fact, whatever is considered as hate speech within the scope of general passing ethics and human rights, they are hate, I think that human rights laws and ethical values have developed sufficiently.Considering these, people's ideas about hate speech are not very important."
R_3QFUjetqLycV9ja,tur,"Hakaret veya tehdit içeren söylemler. Irk, cinsiyet, din, dil, görünüş konusunda ayrımcılık içeren, ötekileştirdiği kesime şiddet uygulanmasını teşvik eden, küfür içeren, rencide edici saldırgan ifadeler.","Discourses that contain insults or threats.Race, gender, religion, language and appearance, discriminating, promoting violence to the subsiary of marginalizing, blasphemy -containing aggressive expressions."
R_pGedcUQnom5HcU9,tur,"Doğaya, hayvan(lar)a, insana ya da her türden insan topluluğuna açıkça zarar vermeye yönelik plan yapan, organize olma ve eyleme geçme potansiyeli açık olan kişi ve grupların açıklamalarını ve iletişimini nefret söylemi olarak değerlendiriyorum.","I consider the explanations and communication of people and groups who make a plan to openly harm nature, animal (s), human or any kind of human community of all kinds of people, who have the potential to organize and take action as hate speech."
R_23VkRqQrbge1Q65,tur,"Bütün etnik kökenlere, derilerinin renklerine, farklı inanışlara, kendi halkına (muhaliflerine) karşı yapılan söylemler nefret söylemidir ve cezalandırılmalıdır.","The discourses made against all ethnic origins, the colors of their skin, different beliefs, their own people (their opponents) are hate speech and punished."
R_A5moqxGRloJrkqJ,tur,"Herhangi bir kimse tarafından kullanıcı kişi ya da kişilerin haysiyetine zarar gelecek herhangi bir söylemde bulunmak, kişilerin cinsiyet, din ve ırkı üzerinden taciz, istismar vs. kullanımlar ve kişinin hürriyet ve canıyla tehdit edildiği tüm konu veya durumlar nefret söylemidir.","To make any discourse that will harm the dignity of the user or persons by any person, harassment, abuse, etc. through gender, religion and race of people.Uses and all the issues or situations in which the person is threatened with freedom and life is hate speech."
R_12MsYCS5MA6sqCb,tur,"Kişilerin fikir veya sahip oldukları özellikleri veya dahil olduğu toplulukları hor görmek, küçümsemek, aşağılamak","To despise, underestimate, humiliate the people's ideas or characteristics or the characteristics they have."
R_OPvjdeVqsVrHm81,tur,Fikir ayrılıkları,Disagreements
R_21FgUu00zbBEmW8,tur,"Din,dil ırk ve cinsiyete belli bir kitleye hakaret.","Insulting a certain audience to religion, language race and gender."
R_1jAFf6JxkcjGcNo,tur,Konuya bağlı,Subject to the subject
R_3kvSXt5QZ4oX9hG,tur,"hakaret, bir görüşü düşünmeden tamamen düşmanca yanıtlamak",Insulting completely hostile without thinking about an opinion
R_1ohEzGPSqoihe2p,tur,Saldırgan olmayan fikirlerini yanjış da olsa söyleyebilmelidir.,"He should be able to say his non -aggressive ideas, even if he was pistrative."
R_31n2IoOpAvHGrtV,tur,Kişi kendisine saldırı hissederse kötü hissederse aşağılanmış hissederse nefret söylemidir,"If a person feels bad if he feels an attack, he feels humiliated."
R_cZ5fTSnHs69FYqZ,tur,Kişinin hak ve özgurlugune her şekilde her türlü dusuncesizce yapılan hakaret ve yaptırım çabası..,Inspection and sanction effort made to the person's rights and self -esteem in any way.
