ResponseId,Finished,Progress,open_hatedefinition,open_allow,UserLanguage,gender,birthyear,minority,country.x,country.y
R_00YM1VwRJsYUEeZ,1.0,100.0,Kendi yanlış fikrini savunup doğrudan çoğunluğa saldıran kendi yanlış fikrini savunup doğrudan azınlığa saldıran,Şaka ve mizah içerikli olaylar bir yaptırım almamalı tehdit ve sınır ihlali almalı yalan bir bilgiyi doğru gibi lanse edenler para cezası almalı,TR,Male,1.0,minority,tur,
R_023xWRDZFGqn4xb,1.0,100.0,hakaret kırucı incitici,ahlak dışı,TR,Female,26.0,non-minority,tur,
R_08u4SbBFiq6ImPf,1.0,100.0,"psikolojik siddet iceren her turlu aktivite, nefret soylemi olarak degerlendirilebilir.","homofobi irkcilik, transfobi, non-binaryfobi, soykirim reddiyeciligi, siddet tehtidi, kisinin izni olmaksizin ozel hayatinin gizliligini ihlal eden herhangi bir sey, dogaya, cevreye kamu malina dogal hayata ve sokak hayvanlarina karsi islenebilecek herhangi bir zarar verme telkini, bir kesimi diger bir kesimin aleyhine tahrik ederk cikartilabilecek herhangi bir tehlikeli sey icin var olacak olan soylem,  halkin bir bolumunu diger  bolumune karsi cinsiyet, cinsel yonelim, cinsiyet kimligi, siyasi dusunce, etnik koken, kullanilarak sadece ve sadece ayrimciliga dayali asagilama. her turden cinsiyet esitsizligi yaratan bir cinsiyetin deiger cinsiyet uzerinde tahakkum sahibi oldugunu beyan eden veyahut bir cinsiyeti siniflara ayiran binaenaleyh onlarin cesitli rollere burundugunu ve/veya burunmesi gerektigini iddia eden her turlu ima, terf akimi,",TR,Female,4.0,minority,tur,
R_0cSi9SslBOXjHtT,1.0,100.0,Ayrıştırıcı ve aşağılayıcı söylemler ile küfür,Küfür hakaret ve ırkçılığa izin verilmemeli,TR,Male,27.0,non-minority,tur,
R_0fx9l7hKPDwDt1D,1.0,100.0,Bölücü/ etiketleyici olduğu zaman,Tehdit derecesinde olan ifadeler,TR,Female,55.0,non-minority,tur,
R_0MtjzRV34snGPaF,1.0,100.0,Ülke ve canlılar hakkında yapılan marjinal sözler.,İnsana doğaya ve canlılara karşı aşağılayıcı sözlere müsade edilmeyecek.,TR,Male,39.0,non-minority,tur,
R_0ptnpGrr3bBeCpr,1.0,100.0,"Bir insanın inancına, etnik kökenine, giyimine, yaşayış tarzına vb konularda kötü söz söylenmesi, müdahale edilmesi",Nefret söylemine kesinlikle izin verilmemeli,TR,Male,29.0,minority,tur,
R_0qeFIRPHukMpfr3,1.0,100.0,Tahammülsüzlük. Eleştiriye açık olmamak.,Kişisel saldiri,TR,Male,44.0,non-minority,tur,
R_0wDwzcZmABB8uaJ,1.0,100.0,Duyarsız gaddar kafatasçı,Nefret ırkçılık hakaret vs.  Dışında herşey,TR,Male,17.0,minority,tur,
R_10HQSI3EbvJrbLs,0.0,99.0,Bence bir tarafa karşı kışkırtma olan içerikler,Bazı kişilerin sadece kendisinin karar verebileceği kimseye zarar vermeyen şeylere karşı nefret söylemi,TR,Female,7.0,non-minority,tur,
