ResponseId,Finished,Progress,open_hatedefinition,open_allow,UserLanguage,gender,birthyear,minority,country.x,country.y
R_00YKze3xPbRS001,0.0,99.0,Persönliche Beleidigung oder Androhung von Gewalt.,"Man darf alles sagen, solange es keinen Menschen beleidigend, rassistisch oder sonst abwertend verletzt.",DE,Male,42.0,non-minority,ger,
R_01ewquVYLKmAv7j,1.0,100.0,Aufruf zur Gewalt oder eindeutige beabsichtigte Diskriminierung/Beleidigung.,"Aufrufe zur Gewalt und vergleichbare Aussagen, welche auch eine tatsächliche Straftat darstellen und entsprechend geahndet werden. Alles andere öffnet der Zensur Tür und Tor. Demokratie muss auch belastbar sein.",DE,Male,42.0,non-minority,ger,
R_02pjIjIXYq41ojf,1.0,100.0,,Strafbare Äußerungen,DE,Male,49.0,minority,ger,
R_06qqIKcTdnrWvOF,1.0,100.0,Direkte persönliche Beleidigung.,Man sollte alles sagen können.,DE,Male,22.0,minority,ger,
R_0cDQk36zkHAb2H7,0.0,99.0,"Wenn Individuen persönlich angegangen werden, z.B. “du bis eine fette, hässliche Person” oder Gruppen bzw. Minderheiten ein bestimmtes Verhalten zugeschrieben wird, z.B. “alle Zigeuner klauen”.","Zigeuner klauen, Ausländer sind Messerstecher, emanzipierte Frauen gehören vergewaltigt, alles was mit Abwertung und Bedrohung von Einzelnen und diskriminierten Gruppen zu tun hat. Reaktionen abgestuft nach Schweregrad, manchmal reicht das Löschen, wird ein entsprechender Beitrag gemeldet, der aber nicht konkret gegen Einzelne oder bestimmte Gruppen wie Juden, Sinti und Roma, Transmenschen etc. Gerichtet ist.",DE,Female,46.0,non-minority,ger,
R_0CGrjSltNizWHAZ,1.0,100.0,Ist mir kein Begriff.,Nichts.,DE,Male,36.0,non-minority,ger,
R_0cQRcONBtx988a5,1.0,100.0,Ganz persönliche Angriffe mit detaillierter Verhaltensbeschreibung.,Alles.,DE,Male,47.0,minority,ger,
R_0DLpywdxXMiMh1v,1.0,100.0,"Gewaltaufruf...
...aber da links-grün heute definiert, was Hassrede ist, wird ja seit längerem alles, was deren Meinung wiederspricht, als Hassrede sanktioniert.

Es ist schon längst zu totalitär, was die Meinungsfreiheit betrifft.
#cancelculture ...so haben die Nazis auch angefangen.","Schlimme Dinge dürfen erst zensiert werden, wenn eine ordentliche Justiz, die ja auch weisungsgebunden immer röter wird, diese als strafbar bewertet hat.

",DE,Male,21.0,minority,ger,
R_0Gppxaz2wkCQkRr,1.0,100.0,"Inhalte, die gezielt auf Personen und Gruppen von Menschen ausgerichtet sind und diese in ihrer Würde und Daseinsberechtigung angreift.",Angriffe und Aufforderungen zu Straftaten.,DE,Male,44.0,non-minority,ger,
R_0kZlY8n6OnOGmE9,0.0,99.0,"Hass wären beleidigende, hassvolle Äußerungen gegenüber betreffende Gruppen oder eine oder mehrere Personen bezüglich bestimmter Themen/Problemen oder Ansichten.","Angriffe, Hass und Beleidigungen.",DE,Male,41.0,non-minority,ger,
R_0MLgZ2baiAp50pb,0.0,99.0,"Hassrede ist, wenn jemand gezielt eine Person persönlich angreift und beleidigt. Eine Ideologie/Religion oder dergleichen zu kritisieren ist freie Meinung. Wenn ich jemanden dumm nenne ist sowas Hassrede, wenn ich den Glauben an einen Gott allgemein für dumm halte, ist das freie Meinung.",Alles was Personen direkt angreift. Überzeugungen usw. sollten IMMER frei kritisert werden dürfen.,DE,Male,24.0,minority,ger,
R_0NTvBY3rhYQ3JXr,0.0,99.0,"Ich würde Hassrede dann definieren wenn der Vortragende persönlich massiv beleidigt wird, wenn aggressive, verletzende Formulierungen verwendet werden - oder wenn der Vortragende sogar direkt bedroht wird.","Man (und frau...) sollte frei die eigene Meinung sagen dürfen.
Dass dabei ein zivilisierter gesitteter Umgangston gewählt verwendet wird, und dass durch die Postings niemand beleidigt wird, sollte selbstverständlich sein.
Wir alle wissen dass dem nicht so ist - ein weiterer Beleg für den Verlust von Zivilisation und von Anstand.",DE,Male,51.0,non-minority,ger,
R_0PKzVf8hePkc0Bb,0.0,99.0,"Sie ist gefährlich, nicht objektiv, intolerant, pervers, beleidigend, feige, dumm, menschenverachtend, gewaltbereit, borniert, asozial....","Zur Gewalt animieren. Drohungen. Mobbing. Persönliche Beleidigungen. Alles, was Menschen oder unsere freiheitliche Demokratie in Gefahr bringt.",DE,Female,52.0,non-minority,ger,
R_0pSTeTGKctMXE5z,1.0,100.0,"Aufruf zu Gewalt,bedrohendes, niedermachendes","Dinge die zu Gewalt aufrufen, sie verherrlichen, Menschen massiv beleidigen
",DE,Male,25.0,minority,ger,
