ResponseId,Finished,Progress,open_hatedefinition,open_allow,UserLanguage,gender,birthyear,minority,country.x,country.y
R_06s6CP4kZO5UBXj,1.0,100.0,Nieuzasadniona logiką nienawiść wobec różnych grup społecznych,"Życzyć komuś śmierci, cierpienia itp.",PL,Female,3.0,minority,pol,
R_07kAdBSC97lV0zv,1.0,100.0,Nawoływanie do dyskryminacji czy przemocy.,"Nie wolno obrażać innych ludzi, ale moja definicja obrażania jest dużo węższa niż przedstawione tutaj przykładowe posty.",PL,Male,12.0,non-minority,pol,
R_087xvanH1ruEaOZ,1.0,100.0,"Nawoływanie do poważnych przestępstw np. morderstwa, tortur itp. woboc osoby lub grupy.",Skłanianie do poważnego przestępstwa np. morderstwa tortur itp.,PL,Male,16.0,non-minority,pol,
R_08nKNTIi30oGIAF,1.0,100.0,"""Mowa nienawiści"" to sztuczny twór stworzony przez polityków, publicystów do swoich własnych populistycznych celów politycznych. Chociaż zdażają się takie nawałowynia przez margines społeczny lub podburzona duża grupa, niewyedukowanych ludzi przez jakiś nienawistny substytut jak np. kościół czy jakaś partia polityczna.", Moim zdaniem nie ma czegoś takiego że nie wolno mówić. Trzeba mówić wszystko. Nawet to że żyd to człowiek.,PL,Male,48.0,non-minority,pol,
R_09rX9WhfqsXu9l7,1.0,100.0,"Jest to nawoływanie do prześladowań danych grup społecznych społeczności bądź jednostek, nie jest to zwykłe ad personam.","Życzyć śmierci, nawoływać do przemocy fizycznej bądź psychicznej np w postaci gróźb które dana osoba teoretycznie mogłaby spełnić.",PL,Male,8.0,non-minority,pol,
R_09twGLTe56zK7pn,1.0,100.0,Słowa krzywdzące dobrych ludzi,Myślę że powinna być całkowita wolność słowa,PL,Male,8.0,non-minority,pol,
R_0cEzEKqFfK6thu1,1.0,100.0,Jako idę sprzeczną z wolnością słowa,Nawoływać do przemocy,PL,Male,9.0,non-minority,pol,
R_0eUrLlIbDCPcCYh,1.0,100.0,"Nawoływanie do popełnienia przestępstwa wobec danej osoby/podawanie jej danych personalnych, a w szczególności miejsca zamieszkania/","Nie wolno podawać danych osobowych użytkowników (zwłaszcza miejsca zamieszkania) oraz nawoływać do popełnienia przestępstwa. W innych przypadkach jak np. obrażanie/wyzywanie sprawą powinien zająć się sąd (poprzez pozew cywilny), a nie moderator platformy, który często nie ma kwalifikacji do sprawnej oceny choćby kontekstu wypowiedzi i jest zatrudniany za głodową stawkę w krajach trzeciego świata.",PL,Male,5.0,minority,pol,
R_0I0Gftw3w4Tnpqp,1.0,100.0,,"życzyć komuś śmierci, obrażać rodzinę",PL,Female,5.0,non-minority,pol,
R_0J0ftCI62NFxAkN,1.0,100.0,"Mową nienawiści nazywam sformułowania nawołujące do czynów penalizowanych przez prawo,oraz tych,które mimo braku penalizacji próbują stygmatyzować /negatywnie/ osoby z powodu ich tożsamości...","Nie wolno rozpowszechniać opinii i wiadomości na temat faktów i osób,których nie jesteśmy pewni ,nie sprawdziliśmy oraz stygmatyzować negatywnie osób z powodu ich tożsamości ...A już całkowicie naganne jest celowe upowszechnianie takich fałszywych wiadomości...Właśnie sam celowy zamiar takich ""wiadomości"" powinno być ""penalizowane"" przez moderatorów...
",PL,Male,55.0,non-minority,pol,
R_0j0SF8E4AEZSNHP,1.0,100.0,"Grożby utraty zdwrowia lub śmierci, grożby tortur oraz groźby wobec rodziny.",niech mówią.,PL,Male,33.0,,pol,
R_0lk1uzM9pKM8xSF,0.0,99.0,"Mowa nienawiści to każda opinia ubliżając komuś, upokarzająca kogoś, wyśmiewająca oraz wulgarna.","Przede wszystkim trzeba być kulturalnym i lepiej milczeć niż powiedzieć ( napisać) coś, czego będę żałować",PL,Female,36.0,non-minority,pol,
R_0O27N3qzRRv1Tnb,1.0,100.0,"Życzenie komuś śmierci, bólu",Życzenie komuś śmierci,PL,Male,9.0,non-minority,pol,
R_0PzqjcVP8XZx42d,1.0,100.0,test,test,PL,Female,19.0,non-minority,pol,
R_0V787dX2xDIOnDz,1.0,100.0,Nie istnieje cos takiego jak mowa nienawiści,Można mówić wszystko dopki nie są to groźby karalne,PL,Male,3.0,non-minority,pol,
R_10AaFV4CTtRAsFm,1.0,100.0,To bardzo zalezy od wielu czynników skladajacych sie na sytuacje. Zazwyczaj. Chyba,Powielanie szkodliwych mogacych byc niebezpieczne dla grupy ktorej sie tyczą powinny być karane conajmniej uciszaniem bądź srogim potępieniem.,PL,Other,5.0,minority,pol,
R_10BndVt7SZwhdyR,1.0,100.0,Agresywne stwierdzenia obrażające atakowaną grupę lub osobę lub/i nawołujące do przemocy,"Obrażać, agresywnie drwić (subtelne i śmieszne żarty dopuszczam) oraz nawoływać do przemocy wobec osób lub grup, posługiwać się nieprawdą i manipulacją w celu zdeprecjonowania osoby lub grupy",PL,Female,45.0,minority,pol,
R_10CqcBnFejUNo69,1.0,100.0,"Dla mnie mowa nienawiści to toksyczne podsycanie negatywnych uczuć, używanie obelg. Miałam problem z odróżnieniem ""obraźliwe"" od ""mowa nienawiści"", bo dla różnych ludzi obraźliwe są różne rzeczy, których obiektywnie nie można uznać za nienawistne, bo są tylko opisem pewnych kategorii (np. ktoś może uznać, że określenie go mianem wyznawcy religii jest obraźliwe).","Moją granicą jest nawoływanie do przemocy - to powinno być odgórnie kasowane bez dyskusji. W innych przypadkach czasem trudno jest postawić granicę pomiędzy retorycznym wyolbrzymieniem, przejaskrawieniem, a prawdziwą sugestią (np. nikt nie weźmie na poważnie propozycji odebrania prawa głosu katolikom, ale już odebranie go przestępcom lub chorym psychicznie pewnie tak).",PL,Female,26.0,non-minority,pol,
R_10GwvRqwxUFied9,1.0,100.0,Pedały do gazu eluwina,Nic,PL,Male,6.0,non-minority,pol,
R_10P2PH1zibR7z0B,1.0,100.0,"Publiczne nawoływanie do czynów zabronionych które mogą szkodzić innym, coś co ma duży pogłos, a nie jakies pojedyncze glupie komentarze pod postami itd.","Media społecznościowe to ostoja wolności słowa w pełnym tego słowa znaczeniu, jeśli ktoś nie chce zostać urazony to niech korzysta z takich portali na których jest to zabronione, to portale społecznościowe powinny o tym decydować jakie treści się na nich znajdują",PL,Male,5.0,non-minority,pol,
R_10SBGpqlOwEdL5p,1.0,100.0,"Mowa nienawiści - wypowiedź pozbawiona logicznych argumentów, ukierunkowana jedynie na puste i absurdalne wyzywanie",Wolno mówić wszystko.,PL,Male,3.0,non-minority,pol,
R_10w6X8k9zBSvUFM,1.0,100.0,Nie ma czegoś takiego jak mowa nienawiści.,"Zakazane powinny być wulgaryzmy i dręczenia przy użyciu sc. Nic więcej. Cenzura już była i była narzędziem opresji. Karze podlegać powinno podawać fałszywych informacji ani obraża uczuć religijnych, ani tzw homofobia nie mają prawa ograniczać wolności slowa",PL,Female,26.0,non-minority,pol,
R_10wtrO1nlZOjvlD,1.0,100.0,Nawoływanie do przemocy w sposób dosłowny (nie jest to żart ani hiperbola),Nawoływać do łamania prawa (poza żartami co jest ciężkie do weryfikacji),PL,Male,5.0,non-minority,pol,
R_10ZsIWHky5tFdOZ,1.0,100.0,"Nawoływanie do morderstwa, namaszczenie kogoś przez pryzmat jego pochodzenia/seksualności/partii politycznej gorszym. Wszyscy rodziny się równie bezwartościowi i sami budujemy swoją wartość, powyższych argumentów nie można używać, żeby kogoś stawiać ponad innymi, ani mu umniejszać.
Jeżeli ktoś jest biały, ktoś inny jest czarny, nie powinno to nikogo urażać.","Wszystko powinno móc wolno mówić, powyższe przykłady powinno być karane prawnie, trzeba liczyć się z konsekwencjami swoich słów. Tak jak i można stanąć w tłumie i zacząć wychwalać Adolfa Hitlera, tak też powinno móc się to napisać, co powinno oczywiście zostać rozliczone przez wymiar sprawiedliwości, dzieci równocześnie powinny być odseparowane od treści tego typu jak i od treści politycznych, za to każdy powinien móc napisać, że jego zdaniem jedzenia mięsa do morderstwo, tak jak i każdy powinien móc napisać, że aborcja to morderstwo.",PL,Male,7.0,non-minority,pol,
R_116d1ViLDfW1eoa,1.0,100.0,"Treści wprost obrażające i dyskryminujące lub nawołujące do przemocy w stronę osoby lub grupy, za samo jej istnienie lub prywatne opinie",Hejty niekonstruktuwnego i nietolerancji jeśli nie jest w oczywistej formie humorustycznej,PL,Female,3.0,non-minority,pol,
R_11arpmTRWK6gICH,1.0,100.0,"Coś, co powstało na potrzeby posiadania kontrargumentu na niewygodne poglądy.","Wulgarne wyzwiska, nie mające nic wspólnego z prawdą nie powinny pojawiać się w sieci. Nie powinno się również rzeczy zahaczających o molestowanie.",PL,Male,7.0,non-minority,pol,
R_11gXkgc04EHLSbT,1.0,100.0,"Zajebać katoli, niech ploną w piecu","Nie wolno pisać gróźb karalnych, ani publikować cudzych danych wrażliwych",PL,Male,27.0,minority,pol,
R_11YZnC8nqwqjUMU,0.0,99.0,"Mowa nienawiści to wyrażanie opinii, które w realny sposób mogłyby mieć negatywne konsekwencje dla jej ofiar - m.in. życzenie komuś śmierci na podstawie tego, kim są albo rozpowszechnianie fałszywych informacji w celu oczernienia grupy społecznej","Jakichkolwiek gróźb nawet jeśli nie są skierowane do konkretnej osoby (np. ""Gdybym mógł, pozabijałbym wszystkich żydów) i dezinformacji (np. ""Wszyscy geje to pedofile, którzy chcą gwałcić nasze dzieci"")",PL,Female,6.0,minority,pol,
R_120kjjB3uzp4vLZ,1.0,100.0,Nawiązywanie do krzywdy innych. Oraz rasistowskie obrażanie innych bez wiekszego sensu,Całkowitego klamania. Mijania się z prawdą o 180 stopni,PL,Male,20.0,minority,pol,
R_123EEbNldAHLKaf,1.0,100.0,"Wypowiedzi o charakterze dyskryminującym lub groźby, mające na celu ubliżyć konkretnej grupie lub osobie, często o odmiennych poglądach, płci, religii, orientacji czy narodowości lub koloru skóry.","Przede wszystkim nie powinno się atakować drugiego człowieka niezależnie od powodu, nawet jeśli się z nim nie zgadzamy lub mamy względem niego uprzedzenia, to należy mu się szacunek, a ewentualne problemy powinno się rozwiązywać cywilizowaną dyskusją. Dlatego media społecznościowe nie powinny pozwalać dyskryminację oraz zwracać szczególną uwagę na dyskusje, które mogą sprawić, że ktoś może się poczuć niekomfortowo, jednocześnie pozwalając na wolną debatę osób niezależnie od poglądów, tak długo jak debatujący nie atakują się nawzajem, a podawane poglądy nie godzą w dobro innych (np. rasizm, nazizm, homofobią)",PL,Female,9.0,minority,pol,
R_126mPHYb9q89X7Q,1.0,100.0,Słownictwo szerzące niechęć i wrogość w kierunku konkretnej grupy lub osoby.,"Wulgaryzmów, zwrotów chcących celowo kogoś zranić, stwierdzeń chcących kogoś poniżyć.",PL,Female,3.0,non-minority,pol,
R_12AwcPlMqVj3aHN,1.0,100.0,przemoc werbalna,"wolno wszystko(w granicach prawa-z uzasadnionymi wyjątkami), ale czego nie należy to indywidualnie decyduje każdy za siebie.",PL,Male,36.0,non-minority,pol,
R_12D7I8rc7UBEIbG,1.0,100.0,Bezpodstawne poniżanie czy obrażanie innych za cokolwiek.,"- wyzwiska
- kłamstwa
- ruska propaganda",PL,Female,33.0,non-minority,pol,
R_12DdkZoTaX5OtcZ,1.0,100.0,Bezpośrednia groźba i nawoływanie do krzywdy,Nie ma takich rzeczy.,PL,Male,7.0,minority,pol,
R_12fiuCKTLbD7yAl,1.0,100.0,Szeroko pojęte groźby karalne i nic poza tym.,"Rzeczy zakazanych prawnie, przez prawo danego kraju.",PL,Male,5.0,non-minority,pol,
