"ResponseId","country","hate_definition","hate_definition_cleaned"
"R_21h5UwBw1M79yxM","tur","Hakaret aşağılama kin içeren kelimeler","Words containing insult, humiliation and hatred"
"R_1k1wJIdtEyN5vBx","tur","Açık küfür, şahıs gözeterek aşağılama, fikirden çok fiziğe (kişiye) saldırı","Open swearing, personal insult, attack on physics (person) rather than ideas"
"R_3lRctDAbDZBrOvf","tur","Irkçı cinsiyetçi evrensel ilkeleri etik değerleri aşağılayan söylemler","Discourses that are racist, sexist, degrading universal principles and ethical values"
"R_2CrHBB2eWJjAD6u","tur","Kendisi gibi olmayan veya düşünmeyenlere yaşama şansı vermeyen herkes nefret söylemi suçu işler","Anyone who does not give a chance to life to those who are not like him or who do not think like him commits the crime of hate speech."
"R_2SApdMFtIsEO1zb","tur","İnsanların kişilik ve benliklerini zedeleyen hersey","Anything that damages people&#39;s personalities and identities"
"R_3sBnrQeKoSJsvsC","tur","Bir zümreyi hedef alan, eylem yapılmasını isteyen söylem","Discourse that targets a group and calls for action"
"R_110Y8l0Q250XyA0","tur","Bana pis TÜRK DERSE.","IF HE CALLS ME A DIRTY TURKISH."
"R_21FgUu00zbBEmW8","tur","Din,dil ırk ve cinsiyete belli bir kitleye hakaret.","Insulting a certain group of people based on religion, language, race or gender."
"R_cZ5fTSnHs69FYqZ","tur","Kişinin hak ve özgurlugune her şekilde her türlü dusuncesizce yapılan hakaret ve yaptırım çabası..","Any kind of thoughtless insult and sanction effort against a person&#39;s rights and freedom."
"R_UuP3tfM2G7DTt73","tur","Çok kötü","Too bad"
"R_3HBJMQBGuQn9J4h","tur","Tüm aşırı Radikal fikirler düşünceler ve inançlar","All extreme Radical ideas thoughts and beliefs"
"R_PCygKLlW5Q2tZYd","tur","Dil, din, ırk, cinsiyet, sosyal konumlarını aşağılamak nefret söylemidir.","Insulting language, religion, race, gender and social position is hate speech."
"R_73NqUl195z7zlXH","tur","Karşınızdakinin de bir insan olduğunu düşünmeden yapılan söylemlerdir.","These are statements made without considering that the other person is also a human."
"R_OPvjdeVqsVrHm81","tur","Fikir ayrılıkları","Disagreements"
"R_1oniH9mLEzeQpvP","tur"," Kendisinden farklı olana yöneltilen her türlü hakaret, hedef gösterme, taciz söylemi vb."," All kinds of insults, targeting, harassment speech, etc. directed at those who are different from themselves."
"R_Brmq5xmsjUGoYZH","tur","Bölücülük yapmak","to cause division"
"R_2EGdmiQWOGSN0xW","tur","Irkçı soylemler","Racist remarks"
"R_08u4SbBFiq6ImPf","tur","psikolojik siddet iceren her turlu aktivite, nefret soylemi olarak degerlendirilebilir.","Any activity involving psychological violence can be considered as hate speech."
"R_10u9vLJtbsye1b0","tur","Her türlü ırk, renk, dil, din, mezhep, bölge ve cins ayrımcılığı yapmak nefret söylemidir.","Discrimination of any kind based on race, colour, language, religion, sect, region or gender is hate speech."
"R_308KdHHTetR4MrY","tur","Din dil ırk","Religion, language, race"
"R_1Ngk7Iy0Rd7cn1D","tur","Küfür, hakaret ve karşıdaki kişiye nefret edildiğini hissettirecek her şey","Swearing, insults and anything that makes the other person feel hated"
"R_12sZgt3irJU1ewQ","tur","Irk, renk dil din ve cinsiyete karşı yapılan aşağılamalar,  hakaretler ve suçlamalar","Insults, insults and accusations against race, color, language, religion and gender"
"R_3kvSXt5QZ4oX9hG","tur","hakaret, bir görüşü düşünmeden tamamen düşmanca yanıtlamak","insult, respond to an opinion with complete hostility without thinking about it"
"R_Z9msi50DndCMg7f","tur","Belirli bir ırk,dil,din ve mezhep düşmanlığı içeren sözler söylemek nefret söylemidir.","Saying words that contain hostility towards a particular race, language, religion or sect is hate speech."
"R_1ohEzGPSqoihe2p","tur","Saldırgan olmayan fikirlerini yanjış da olsa söyleyebilmelidir.","He/she should be able to express non-aggressive opinions, even if they are wrong."
"R_enDatntiMTxwUyR","tur","Din, mezhep, ırk, renk, milliyet konuları","Religion, sect, race, color, nationality issues"
"R_3nMiRP86CzietAP","tur","Birilerine veya birşeylere kötü sözler, küfürler vb. gibi şeyler çok iğrenç şeyler.","Bad words, swear words, etc. to someone or something. Things like this are very disgusting."
"R_3JLBsQ1vR2gH3IO","tur","Hakaret'tehdit ,kufur ve siyasal dusunceye baski insani asaliyann soylemler","Insults, threats, swearing and oppression of political thought are discourses that intimidate people."
"R_2Yb5CGz3fKRohQX","tur","başka bir canlıya karşı her türlü kötü söylem","any kind of bad language towards another living being"
"R_4UXC8jcJi1BG6PL","tur","Irkçı söylemler.Aşağılayan söylemler.Hakaret.Homofobik,küfürlü söylemler.","Racist statements. Humiliating statements. Insults. Homophobic, abusive statements."
"R_1jAFf6JxkcjGcNo","tur","Konuya bağlı","depends on the topic"
