ResponseId,Finished,Progress,open_hatedefinition,open_allow,UserLanguage,gender,birthyear,minority,country.x,country.y
R_0CIZ4aFSFH0evrb,0.0,99.0,अभद्र भाषा इंसान के मानवीय गुणों को मार देता है,सोशल मीडिया पर हर उस कंटेस्ट पर रोक होना चाहिए जो बच्चों और मानसिक लोगों या बुजुर्ग लोगों पशु पक्षियों राष्ट्र हित के खिलाफ हो उनको अनुमति नहीं देनी चाहिए,HI,Male,27.0,non-minority,ind,
R_0f8ixDegrBj6QHD,1.0,100.0,"गाली-गलौच, अशालीन, अमर्यादित, निजी आलोचना/लांछन ंंंंंंंंऔर स्तरहीन ( सड़क छाप)भाषा।","हां,अनाप शनाप और कुछ भी (असंबद्ध, अनावश्यक, अनपेक्षित और अवांछित) कहने को अनुमति और स्वीकृति नहीं दी जानी चाहिए।",HI,Male,63.0,non-minority,ind,
R_0IKb0YJCQNhnbS9,1.0,100.0," abusive or threatening speech or writing that expresses prejudice on the basis of ethnicity, religion, sexual orientation, or similar grounds, we don't tolerate any form of hate speech.",say respectfully as your parents taught you.,HI,Male,19.0,non-minority,ind,
R_0J0Crmw3GNcaWyd,1.0,100.0,अपने विचार व्यक्त करने में दुसरो की भावना आहत हो,देश के तथा देश के सम्मान एवं प्रतिको  एवं संविधान के खिलाफ अभिव्यक्ति की स्वतंत्रता नहीं दिया जाय,HI,Male,34.0,non-minority,ind,
R_0j0NpqAlviubxeh,1.0,100.0,कोई भी एसी बात जो सामने वाले को या किसी समूह के आत्म सम्मान को ठेस पहुँचाए अभद्र भाषा है,नहीं सोशल मीडिया पर बोलने की अनुमति होनी चाहिए लेकिन साथ ही कड़े क़ानून भी होने चाहिए ताकि इस अनुमति का ग़लत फ़ायदा नहीं उठाया जाय और लोगो को भड़काने में इसका उपयोग नहीं हो,HI,Male,22.0,non-minority,ind,
R_0jM0ygjILIam1yh,1.0,100.0,Sankuchit mansikta,Anusashit vayvhar ka palan kare,HI,Male,27.0,minority,ind,
R_0OokYK1O9cFB39v,0.0,99.0,जिस से किसी को आहत हो।सर्व सम्मत न हो।अपनी बिचारधारा के लिए किया गया हो। सव्द सामाजिक मान्यता के अमान्य हों।,अच्छा प्लेटफार्म हे।तर्क कुतर्को के बीच सर्वमान्य हल निकलते हें।अपना अभिमत समाज के बीच रखने कहने का अवशर मिलता हे।,HI,Male,49.0,non-minority,ind,
R_0pK7Qu7r53Gx5a9,1.0,100.0,लोगों को अपनी समझ और सूझबूझ के द्वारा सोशल मीडिया पर भाषण देना चाहिए जो लोग अनपढ़ हैं उनको सोशल मीडिया पर भाषण नहीं देना चाहिए,सोशल मीडिया आज हम सबके लिए एक भारत का दर्पण है अगर वह दर्पण ही खराब हो या टूट जाए तो हम उसकी हकीकत नहीं समझ सकते हैं इसीलिए सोशल मीडिया पर वही चीज दिखाएं जो सत्य हो सत्य के सिवा कुछ ना हो धन्यवाद,HI,Male,15.0,non-minority,ind,
R_0xruvqdp52ADFm1,1.0,100.0,गाली गलोच और नफरत भरे शब्दों का प्रयोग नहीं होना चाहिए।,देश विरोधी विचार और अपमान जनक चीजे नही होनी चाहिए।,HI,Male,32.0,non-minority,ind,
R_10uBeMJgx6Tcwwx,1.0,100.0,Gaali dena..charitr haran karna..,Di jaani chahiye. Agar koi post dangaa karvati hai khoon kharaba karvati hai ya Ashanti  failati hai sirf woh post  ki anumati nahi di jaani chahiye.,HI,Female,30.0,minority,ind,
