ResponseId,country,hate_definition,translated_hate_definition,translated_hate_definition_cleaned
R_3QFyqRwuNgp4sUE,ind,जान से मारने की धमकी,Threats to kill,Threats to kill
R_1dujeUmZqu7C1Ls,ind,"  Jis bhasa me aap ghar pe, bachcho se baat kare wo sahi hai. Gaali dena , personal ya identity ko lekar comment abhadr hai.","The language in which you talk to the children at home, it is right.Abuse, comment on personal or identity is vulgar.","The language in which you talk to the children at home, it is right.Abuse, comment on personal or identity is vulgar."
R_2thFFabGER6tkON,ind,"Bo iske upper depend karta h 
",Bo gives it to this,Bo gives it to this
R_2TEFl98zGCQMxzk,ind,"अभद्र भाषा से अभिप्राय है किसी समूह की संस्कृति, स्वंतंत्रता, जातीय, धार्मिक आधार पर बोले गए ऐसे शब्द जो समूह के मन मस्तिष्क को उत्पीड़ित करते है।","The abusive language means the culture, independence, ethnic, religious grounds of a group that oppress the mind of the group.","The abusive language means the culture, independence, ethnic, religious grounds of a group that oppress the mind of the group."
R_22KCLv4QVXIc9LH,ind,किसी भी सार्वजनिक मीडिया प्लेटफॉर्म पर किसी को अपमानित करने के लिए प्रयोग किये गए शब्द और अपशब्द ही अभद्र भाषा है,Words and abuses used to humiliate someone on any public media platform are indecent language,Words and abuses used to humiliate someone on any public media platform are indecent language
R_3Eo7chNLfCsPrQR,ind,"Woh bhasha jo saamnewaale ko sharminda ya krodhit kare
Uske sanskaron aur wyatitva ko thhes pahunchaye","Embroidery
Hurt his rites and personality",Embroidery Hurt his rites and personality
R_2dEir8R1lpSzknD,ind,Na,Na,Na
R_yBCi5KQ38OE4tih,ind,उन शब्दों की समाजिक मान्यता न हो ऐसे शब्द अभद्र भाषा कहलाते हैं या उन शब्दो का प्रयोग आपके लिए किया जाय तो आप कैसा महसूस करते हैं इस पर भी निर्भर करता है हो सकता है यही आपका संस्कार हो।,"Such words are called abusive language or if those words are used for you, then it may also depend on how you feel.","Such words are called abusive language or if those words are used for you, then it may also depend on how you feel."
R_3I4bKVDAbDgQMUU,ind,"Kisi viprit vichar Wale manushya Ko man karm athva Vachan ke dwara Hani pahunchane ki cheshta अथवा धमकी भरे अंदाज में शब्दों के प्रयोग को एवं शब्दों के ko prayog ko abhadra Bhasha ki shreni mein Rakha ja sakta hai
",Kisi Viprit Vichar Wale Manushya Ko Manm Athva Vachan Ke Dwara Hani Pahunchane Ki Cheshta or threatening use in threatened manner,Kisi Viprit Vichar Wale Manushya Ko Manm Athva Vachan Ke Dwara Hani Pahunchane Ki Cheshta or threatening use in threatened manner
R_SCyViENHrefzEat,ind,"'अभद्र भाषा ' हम उसे कहेगे जो बात बात पर अपशब्द का प्रयोग करे, और साथ ही साथ अपना गुस्सा को खत्म करने के लिए अधिकतर लोग माता-बहन शब्दों प्रयोग मै लाकर की दुसरो से बात करते है। जब तक सामने वाला व्यक्ति पॉइंट करके अपशब्द की भाषा का प्रयोग न करे।","We will tell the 'vulgar language' that uses abusive words on the matter, and at the same time most people talk to others by using the words in the mother and sister to eliminate their anger.Until the person in front of the front does not use the language of abusive language.","We will tell the 'vulgar language' that uses abusive words on the matter, and at the same time most people talk to others by using the words in the mother and sister to eliminate their anger.Until the person in front of the front does not use the language of abusive language."
R_ehyO8Q1C4yB9pT3,ind,अभद्र भाषा वह है जो मन पर प्रहार करती है सत्य सौम्यता से ही कहना चाहिए - एडवोकेट अमित श्रीवास्तव सिविल कोर्ट सीतापुर,The vulgar language is the one who attacks the mind should be said with truth gentleness - Advocate Amit Srivastava Civil Court Sitapur,The vulgar language is the one who attacks the mind should be said with truth gentleness - Advocate Amit Srivastava Civil Court Sitapur
R_3k0URxe5NHjWu5M,ind,"अभद्र भाषा वह है जो हम अपने खास या विशिष्ट लोगों के सामने ना कह सके! या वही भाषा कोई हमे कहे तब हम लोगों को वो बात बुरी लगे!
अभद्र भाषा की कई परिभाषा है, एक आम व्यक्ति वही आपत्तिनजक भाषा रोज सुनता है जबकि वही भाषा किसी vip के employee को भी बुरा लगता है!","The vulgar language is what we cannot say to our special or specific people!Or if someone tells us the same language, then we find that thing bad!
There are many definitions of abusive language, a common person hears the same objectionable language every day, while the same language of a VIP also feels bad!","The vulgar language is what we cannot say to our special or specific people!Or if someone tells us the same language, then we find that thing bad! There are many definitions of abusive language, a common person hears the same objectionable language every day, while the same language of a VIP also feels bad!"
